id,username,created_at,text
8.69634E+17,SFBARTalert,30/5/17 19:16,"b'BART recovering: 10 min delay at SF stns in PITT, warm springs and RICH dirs due to police activity.'"
8.69603E+17,SFBARTalert,30/5/17 17:16,"b'BART recovering: 10 min delay system wide due to an earlier disabled train, and medical emergencies.'"
8.69575E+17,SFBARTalert,30/5/17 15:23,b'BART recovering: 20 min delay system wide due to an earlier disabled train.'
8.6956E+17,SFBARTalert,30/5/17 14:22,b'Major delay system wide due to an earlier disabled train between WOAK and EMBR.'
8.69553E+17,SFBARTalert,30/5/17 13:55,b'Major delay system wide due to a disabled train between WOAK and EMBR.'
8.69541E+17,SFBARTalert,30/5/17 13:07,b'10 min delay system wide due to equip prob in downtown Oak/LAKE area.'
8.69537E+17,SFBARTalert,30/5/17 12:53,b'10 min delay at LAKE in RICH and DALY dirs due to equip prob.'
8.68528E+17,SFBARTalert,27/5/17 18:03,b'BART recovering: 10 min delay at 12TH in PITT and RICH dirs due to police activity.'
8.68443E+17,SFBARTalert,27/5/17 12:27,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.68337E+17,SFBARTalert,27/5/17 5:26,"b'BART recovering: 15 min delay on SFO line in SFO, MLBR, SF and East Bay dirs due to police activity.'"
8.68335E+17,SFBARTalert,27/5/17 5:18,"b'10 min delay on SFO line in SFO, MLBR, SF and East Bay dirs due to police activity.'"
8.68306E+17,SFBARTalert,27/5/17 3:21,b'BART recovering: 15 min delay at COLM in SFO and MLBR dirs due to police activity.'
8.68305E+17,SFBARTalert,27/5/17 3:18,b'10 min delay at COLM in SFO and MLBR dirs due to police activity.'
8.68183E+17,SFBARTalert,26/5/17 19:14,b'BART recovering: 10 min delay at EMBR in SF and East Bay dirs due to equip prob.'
8.68176E+17,SFBARTalert,26/5/17 18:44,b'10 min delay at EMBR in SF and East Bay dirs due to equip prob.'
8.68163E+17,SFBARTalert,26/5/17 17:54,b'BART recovering: 10 min delay at FTVL in RICH and DALY dirs due to police activity.'
8.68163E+17,SFBARTalert,26/5/17 17:52,b'10 min delay at FTVL in RICH and DALY dirs due to police activity.'
8.6809E+17,SFBARTalert,26/5/17 13:03,b'BART recovering: 20 min delay at DALY in SF and East Bay dirs due to a medical emergency.'
8.68089E+17,SFBARTalert,26/5/17 12:58,b'10 min delay at DALY in SF and East Bay dirs due to a medical emergency.'
8.68087E+17,SFBARTalert,26/5/17 12:50,b'10 min delay at DALY in PITT and DUBL dirs due to a medical emergency.'
8.67913E+17,SFBARTalert,26/5/17 1:19,"b'BART recovering: 20 min delay at BALB in SFO, MLBR and DALY dirs due to an earlier equipment prob on a train.'"
8.67911E+17,SFBARTalert,26/5/17 1:13,"b'10 min delay at BALB in SFO, MLBR and DALY dirs due to equip prob.'"
8.67909E+17,SFBARTalert,26/5/17 1:02,"b'BART recovering: 15 min delay on warm springs line in DUBL, warm springs, RICH and DALY dirs due to an earlier equipment prob on track.'"
8.67905E+17,SFBARTalert,26/5/17 0:48,b'15 min delay on warm springs line in DUBL and warm springs dirs due to equip prob.'
8.679E+17,SFBARTalert,26/5/17 0:27,b'10 min delay at EMBR in East Bay dir due to equip prob and an earlier medical emergency..'
8.67859E+17,SFBARTalert,25/5/17 21:44,"b'BART recovering: 10 min delay at MONT in SFO, MLBR and DALY dirs due to a medical emergency.'"
8.67848E+17,SFBARTalert,25/5/17 21:01,b'10 min delay at DALY in East Bay dir due to equip prob.'
8.67829E+17,SFBARTalert,25/5/17 19:47,"b'BART recovering: 20 min delay at WOAK in FRMT, RICH, SFO and MLBR dirs due to a medical emergency.'"
8.67827E+17,SFBARTalert,25/5/17 19:36,b'10 min delay at WOAK in MLBR and SF dirs due to a medical emergency.'
8.67795E+17,SFBARTalert,25/5/17 17:30,b'BART recovering: 10 min delay at DALY in East Bay dir due to a medical emergency.'
8.67793E+17,SFBARTalert,25/5/17 17:23,b'10 min delay at DALY in SF and East Bay dirs due to a medical emergency.'
8.67769E+17,SFBARTalert,25/5/17 15:49,b'BART recovering: 10 min delay at DALY in East Bay dir due to police activity.'
8.67758E+17,SFBARTalert,25/5/17 15:02,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.67704E+17,SFBARTalert,25/5/17 11:30,b'10 min delay at DALY in PITT and DUBL dirs due to equip prob.'
8.67485E+17,SFBARTalert,24/5/17 20:58,b'BART recovering: 15 min delay at SF stns in East Bay dir due to police activity at EMBR.'
8.67484E+17,SFBARTalert,24/5/17 20:55,b'10 min delay at SF stns in East Bay dir due to police activity.'
8.67479E+17,SFBARTalert,24/5/17 20:33,b'BART recovering: 10 min delay between MLBR and SBRN in RICH and MLBR dirs due to equip prob.'
8.67471E+17,SFBARTalert,24/5/17 20:01,b'10 min delay between MLBR and SBRN in RICH and MLBR dirs due to equip prob.'
8.67436E+17,SFBARTalert,24/5/17 17:45,b'BART recovering: 10 min delay system wide due to earlier equipment probs on tracks.'
8.67408E+17,SFBARTalert,24/5/17 15:53,b'10 min delay system wide due to equip probs in WOAK and DALY areas.'
8.67398E+17,SFBARTalert,24/5/17 15:12,b'10 min delay system wide due to police activity at WOAK and a medical emergency.'
8.67384E+17,SFBARTalert,24/5/17 14:17,"b'BART recovering: 10 min delay in downtown Oak in FRMT, RICH, SFO, MLBR and DALY dirs due to police activity at WOAK.'"
8.67383E+17,SFBARTalert,24/5/17 14:14,"b'10 min delay in downtown Oak in FRMT, SFO, MLBR and DALY dirs due to police activity at WOAK.'"
8.67383E+17,SFBARTalert,24/5/17 14:13,"b'10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'"
8.67367E+17,SFBARTalert,24/5/17 13:09,b'BART recovering: 10 min delay at BAYF in RICH and DALY dirs due to an earlier equipment prob on a train.'
8.67367E+17,SFBARTalert,24/5/17 13:08,b'10 min delay at DALY in East Bay dir due to equip prob.'
8.67365E+17,SFBARTalert,24/5/17 13:02,b'10 min delay at BAYF in RICH and DALY dirs due to equip prob.'
8.67359E+17,SFBARTalert,24/5/17 12:36,b'BART recovering: 10 min delay between FTVL and LAKE in RICH and DALY dirs due to an earlier equipment prob on track.'
8.672E+17,SFBARTalert,24/5/17 2:07,b'BART recovering: 20 min delay on warm springs line in DUBL and warm springs dirs due to an earlier medical emergency at lake merrit stn.'
8.67197E+17,SFBARTalert,24/5/17 1:54,b'10 min delay on warm springs line in DUBL and warm springs dirs due to a medical emergency at lake merrit stn.'
8.67058E+17,SFBARTalert,23/5/17 16:43,"b'10 min delay at DALY in PITT, DUBL, warm springs and RICH dirs due to equip prob.'"
8.67047E+17,SFBARTalert,23/5/17 15:58,b'10 min delay at DALY in DUBL and warm springs dirs due to equip prob.'
8.67043E+17,SFBARTalert,23/5/17 15:42,b'BART recovering: 10 min delay at COLS in RICH and DALY dirs due to police activity.'
8.67042E+17,SFBARTalert,23/5/17 15:39,b'10 min delay at COLS in RICH and DALY dirs due to police activity.'
8.67012E+17,SFBARTalert,23/5/17 13:40,"b'BART recovering: 10 min delay on FRMT/warm springs line in warm springs, FRMT, RICH and DALY dirs due to equip prob.'"
8.67008E+17,SFBARTalert,23/5/17 13:22,"b'10 min delay between UCTY and warm springs in warm springs, FRMT, RICH and DALY dirs due to equip prob.'"
8.67007E+17,SFBARTalert,23/5/17 13:20,"b'10 min delay between UCTY and warm springs in warm springs, FRMT and DALY dirs due to equip prob.'"
8.66996E+17,SFBARTalert,23/5/17 12:35,"b'BART recovering: 10 min delay at DALY in SFO, MLBR and East Bay dirs due to earlier track maintenance.'"
8.66993E+17,SFBARTalert,23/5/17 12:22,"b'10 min delay at DALY in SFO, MLBR and East Bay dirs due to track maint.'"
8.66978E+17,SFBARTalert,23/5/17 11:25,b'10 min delay at DALY in PITT and DUBL dirs due to track maint.'
8.66816E+17,SFBARTalert,23/5/17 0:40,b'BART recovering: 20 min delay between DALY and GLEN on SF line in DUBL and warm springs dirs due to police activity.'
8.668E+17,SFBARTalert,22/5/17 23:38,"b'BART recovering: 20 min delay at COLS on FRMT line in DUBL, warm springs, FRMT, RICH and DALY dirs due to police activity.'"
8.66799E+17,SFBARTalert,22/5/17 23:33,"b'20 min delay on FRMT line in warm springs, FRMT and DALY dirs due to police activity.'"
8.66798E+17,SFBARTalert,22/5/17 23:27,"b'10 min delay on FRMT line in warm springs, FRMT and DALY dirs due to police activity.'"
8.66755E+17,SFBARTalert,22/5/17 20:36,b'Oak airport connector has returned to normal svc.'
8.66747E+17,SFBARTalert,22/5/17 20:05,b'Oak airport connector is currently running 1 shuttle every 20 mins due to track maint.'
8.66685E+17,SFBARTalert,22/5/17 16:00,b'10 min delay system wide due to earlier equipment probs on a train at WOAK and track issues at DALY.'
8.66681E+17,SFBARTalert,22/5/17 15:44,"b'10 min delay at WOAK in SFO, MLBR and DALY dirs due to an earlier equipment prob on a train.'"
